filepath,target,split
colon_n/colonn332.jpeg,n,train
colon_n/colonn2546.jpeg,n,train
colon_n/colonn680.jpeg,n,train
colon_n/colonn4118.jpeg,n,train
colon_n/colonn3843.jpeg,n,train
colon_n/colonn3376.jpeg,n,train
colon_n/colonn1363.jpeg,n,train
colon_n/colonn3457.jpeg,n,train
colon_n/colonn4668.jpeg,n,train
colon_n/colonn4346.jpeg,n,train
colon_n/colonn2205.jpeg,n,train
colon_n/colonn2843.jpeg,n,train
colon_n/colonn229.jpeg,n,train
colon_n/colonn640.jpeg,n,train
colon_n/colonn4050.jpeg,n,train
colon_n/colonn1588.jpeg,n,train
colon_n/colonn900.jpeg,n,train
colon_n/colonn417.jpeg,n,train
colon_n/colonn1617.jpeg,n,train
colon_n/colonn2243.jpeg,n,train
colon_n/colonn31.jpeg,n,train
colon_n/colonn1821.jpeg,n,train
colon_n/colonn3407.jpeg,n,train
colon_n/colonn989.jpeg,n,train
colon_n/colonn4478.jpeg,n,train
colon_n/colonn686.jpeg,n,train
colon_n/colonn4677.jpeg,n,train
colon_n/colonn3298.jpeg,n,train
colon_n/colonn3464.jpeg,n,train
colon_n/colonn2826.jpeg,n,train
colon_n/colonn2703.jpeg,n,train
colon_n/colonn4139.jpeg,n,train
colon_n/colonn312.jpeg,n,train
colon_n/colonn1094.jpeg,n,train
colon_n/colonn1186.jpeg,n,train
colon_n/colonn4488.jpeg,n,train
colon_n/colonn4875.jpeg,n,train
colon_n/colonn1733.jpeg,n,train
colon_n/colonn2244.jpeg,n,train
colon_n/colonn3131.jpeg,n,train
colon_n/colonn2656.jpeg,n,train
colon_n/colonn2410.jpeg,n,train
colon_n/colonn2386.jpeg,n,train
colon_n/colonn1160.jpeg,n,train
colon_n/colonn1713.jpeg,n,train
colon_n/colonn2711.jpeg,n,train
colon_n/colonn32.jpeg,n,train
colon_n/colonn1162.jpeg,n,train
colon_n/colonn1271.jpeg,n,train
colon_n/colonn2142.jpeg,n,train
colon_n/colonn1481.jpeg,n,train
colon_n/colonn3764.jpeg,n,train
colon_n/colonn3385.jpeg,n,train
colon_n/colonn807.jpeg,n,train
colon_n/colonn3520.jpeg,n,train
colon_n/colonn3433.jpeg,n,train
colon_n/colonn1978.jpeg,n,train
colon_n/colonn438.jpeg,n,train
colon_n/colonn4989.jpeg,n,train
colon_n/colonn3332.jpeg,n,train
colon_n/colonn4121.jpeg,n,train
colon_n/colonn2057.jpeg,n,train
colon_n/colonn4400.jpeg,n,train
colon_n/colonn3690.jpeg,n,train
colon_n/colonn4629.jpeg,n,train
colon_n/colonn4725.jpeg,n,train
colon_n/colonn4097.jpeg,n,train
colon_n/colonn1529.jpeg,n,train
colon_n/colonn4952.jpeg,n,train
colon_n/colonn1354.jpeg,n,train
colon_n/colonn2861.jpeg,n,train
colon_n/colonn3285.jpeg,n,train
colon_n/colonn2755.jpeg,n,train
colon_n/colonn4194.jpeg,n,train
colon_n/colonn3157.jpeg,n,train
colon_n/colonn984.jpeg,n,train
colon_n/colonn4087.jpeg,n,train
colon_n/colonn3287.jpeg,n,train
colon_n/colonn1444.jpeg,n,train
colon_n/colonn4709.jpeg,n,train
colon_n/colonn4559.jpeg,n,train
colon_n/colonn2323.jpeg,n,train
colon_n/colonn734.jpeg,n,train
colon_n/colonn2358.jpeg,n,train
colon_n/colonn3248.jpeg,n,train
colon_n/colonn4547.jpeg,n,train
colon_n/colonn3039.jpeg,n,train
colon_n/colonn1876.jpeg,n,train
colon_n/colonn1790.jpeg,n,train
colon_n/colonn3562.jpeg,n,train
colon_n/colonn1166.jpeg,n,train
colon_n/colonn92.jpeg,n,train
colon_n/colonn79.jpeg,n,train
colon_n/colonn339.jpeg,n,train
colon_n/colonn1191.jpeg,n,train
colon_n/colonn3583.jpeg,n,train
colon_n/colonn2202.jpeg,n,train
colon_n/colonn1691.jpeg,n,train
colon_n/colonn2354.jpeg,n,train
colon_n/colonn352.jpeg,n,train
colon_n/colonn609.jpeg,n,train
colon_n/colonn2356.jpeg,n,train
colon_n/colonn1389.jpeg,n,train
colon_n/colonn442.jpeg,n,train
colon_n/colonn1360.jpeg,n,train
colon_n/colonn2012.jpeg,n,train
colon_n/colonn1072.jpeg,n,train
colon_n/colonn296.jpeg,n,train
colon_n/colonn3856.jpeg,n,train
colon_n/colonn4808.jpeg,n,train
colon_n/colonn3712.jpeg,n,train
colon_n/colonn3009.jpeg,n,train
colon_n/colonn3226.jpeg,n,train
colon_n/colonn4195.jpeg,n,train
colon_n/colonn2326.jpeg,n,train
colon_n/colonn4190.jpeg,n,train
colon_n/colonn4294.jpeg,n,train
colon_n/colonn1639.jpeg,n,train
colon_n/colonn3604.jpeg,n,train
colon_n/colonn3774.jpeg,n,train
colon_n/colonn404.jpeg,n,train
colon_n/colonn301.jpeg,n,train
colon_n/colonn3204.jpeg,n,train
colon_n/colonn4991.jpeg,n,train
colon_n/colonn3849.jpeg,n,train
colon_n/colonn1483.jpeg,n,train
colon_n/colonn2437.jpeg,n,train
colon_n/colonn3701.jpeg,n,train
colon_n/colonn482.jpeg,n,train
colon_n/colonn4812.jpeg,n,train
colon_n/colonn2693.jpeg,n,train
colon_n/colonn3810.jpeg,n,train
colon_n/colonn424.jpeg,n,train
colon_n/colonn817.jpeg,n,train
colon_n/colonn235.jpeg,n,train
colon_n/colonn445.jpeg,n,train
colon_n/colonn4717.jpeg,n,train
colon_n/colonn317.jpeg,n,train
colon_n/colonn4005.jpeg,n,train
colon_n/colonn4253.jpeg,n,train
colon_n/colonn1298.jpeg,n,train
colon_n/colonn4350.jpeg,n,train
colon_n/colonn3303.jpeg,n,train
colon_n/colonn1577.jpeg,n,train
colon_n/colonn2977.jpeg,n,train
colon_n/colonn1903.jpeg,n,train
colon_n/colonn4470.jpeg,n,train
colon_n/colonn399.jpeg,n,train
colon_n/colonn1888.jpeg,n,train
colon_n/colonn4780.jpeg,n,train
colon_n/colonn3888.jpeg,n,train
colon_n/colonn2549.jpeg,n,train
colon_n/colonn1400.jpeg,n,train
colon_n/colonn3387.jpeg,n,train
colon_n/colonn1305.jpeg,n,train
colon_n/colonn1037.jpeg,n,train
colon_n/colonn204.jpeg,n,train
colon_n/colonn2075.jpeg,n,train
colon_n/colonn1510.jpeg,n,train
colon_n/colonn2079.jpeg,n,train
colon_n/colonn4760.jpeg,n,train
colon_n/colonn1007.jpeg,n,train
colon_n/colonn372.jpeg,n,train
colon_n/colonn1887.jpeg,n,train
colon_n/colonn4394.jpeg,n,train
colon_n/colonn631.jpeg,n,train
colon_n/colonn3351.jpeg,n,train
colon_n/colonn3812.jpeg,n,train
colon_n/colonn2466.jpeg,n,train
colon_n/colonn4124.jpeg,n,train
colon_n/colonn1470.jpeg,n,train
colon_n/colonn3321.jpeg,n,train
colon_n/colonn1106.jpeg,n,train
colon_n/colonn3544.jpeg,n,train
colon_n/colonn3104.jpeg,n,train
colon_n/colonn2371.jpeg,n,train
colon_n/colonn162.jpeg,n,train
colon_n/colonn2167.jpeg,n,train
colon_n/colonn1231.jpeg,n,train
colon_n/colonn2725.jpeg,n,train
colon_n/colonn3832.jpeg,n,train
colon_n/colonn1798.jpeg,n,train
colon_n/colonn2163.jpeg,n,train
colon_n/colonn441.jpeg,n,train
colon_n/colonn1164.jpeg,n,train
colon_n/colonn51.jpeg,n,train
colon_n/colonn1036.jpeg,n,train
colon_n/colonn1322.jpeg,n,train
colon_n/colonn4892.jpeg,n,train
colon_n/colonn4223.jpeg,n,train
colon_n/colonn2419.jpeg,n,train
colon_n/colonn47.jpeg,n,train
colon_n/colonn4269.jpeg,n,train
colon_n/colonn4516.jpeg,n,train
colon_n/colonn2291.jpeg,n,train
colon_n/colonn2567.jpeg,n,train
colon_n/colonn2796.jpeg,n,train
colon_n/colonn3296.jpeg,n,train
colon_n/colonn2188.jpeg,n,train
colon_n/colonn3089.jpeg,n,train
colon_n/colonn1827.jpeg,n,train
colon_n/colonn2704.jpeg,n,train
colon_n/colonn4420.jpeg,n,train
colon_n/colonn866.jpeg,n,train
colon_n/colonn2668.jpeg,n,train
colon_n/colonn786.jpeg,n,train
colon_n/colonn4919.jpeg,n,train
colon_n/colonn4432.jpeg,n,train
colon_n/colonn3136.jpeg,n,train
colon_n/colonn3435.jpeg,n,train
colon_n/colonn4904.jpeg,n,train
colon_n/colonn1923.jpeg,n,train
colon_n/colonn4577.jpeg,n,train
colon_n/colonn2842.jpeg,n,train
colon_n/colonn134.jpeg,n,train
colon_n/colonn1779.jpeg,n,train
colon_n/colonn4782.jpeg,n,train
colon_n/colonn2052.jpeg,n,train
colon_n/colonn338.jpeg,n,train
colon_n/colonn1144.jpeg,n,train
colon_n/colonn4932.jpeg,n,train
