image,set
ISIC_0000159,train
ISIC_0066225,train
ISIC_0053913,train
ISIC_0068847,train
ISIC_0058471,train
ISIC_0053985,train
ISIC_0054973,train
ISIC_0034031,train
ISIC_0029745,train
ISIC_0057913,train
ISIC_0073127,train
ISIC_0069592,train
ISIC_0066136,train
ISIC_0061231,train
ISIC_0027977,train
ISIC_0056182,train
ISIC_0029538,train
ISIC_0025962,train
ISIC_0054354,train
ISIC_0014651_downsampled,train
ISIC_0031312,train
ISIC_0063473,train
ISIC_0068800,train
ISIC_0025253,train
ISIC_0032562,train
ISIC_0030714,train
ISIC_0063443,train
ISIC_0062349,train
ISIC_0063156,train
ISIC_0059069,train
ISIC_0033539,train
ISIC_0063460,train
ISIC_0073043,train
ISIC_0062622,train
ISIC_0067598,train
ISIC_0058751,train
ISIC_0070682,train
ISIC_0070290,train
ISIC_0072846,train
ISIC_0000125_downsampled,train
ISIC_0028916,train
ISIC_0031259,train
ISIC_0071341,train
ISIC_0059111,train
ISIC_0064981,train
ISIC_0066480,train
ISIC_0056073,train
ISIC_0064509,train
ISIC_0030953,train
ISIC_0061937,train
ISIC_0030441,train
ISIC_0031321,train
ISIC_0073021,train
ISIC_0069743,train
ISIC_0064806,train
ISIC_0025454,train
ISIC_0064599,train
ISIC_0028471,train
ISIC_0029118,train
ISIC_0026215,train
ISIC_0029571,train
ISIC_0027434,train
ISIC_0026783,train
ISIC_0032832,train
ISIC_0063455,train
ISIC_0056239,train
ISIC_0000130_downsampled,train
ISIC_0010061,train
ISIC_0058956,train
ISIC_0065709,train
ISIC_0068036,train
ISIC_0028078,train
ISIC_0060798,train
ISIC_0032779,train
ISIC_0071261,train
ISIC_0027297,train
ISIC_0057510,train
ISIC_0033679,train
ISIC_0028638,train
ISIC_0064695,train
ISIC_0072951,train
ISIC_0067278,train
ISIC_0068701,train
ISIC_0072929,train
ISIC_0031546,train
ISIC_0057189,train
ISIC_0055747,train
ISIC_0032881,train
ISIC_0059289,train
ISIC_0054198,train
ISIC_0027747,train
ISIC_0026384,train
ISIC_0060999,train
ISIC_0063018,train
ISIC_0069807,train
ISIC_0025903,train
ISIC_0031911,train
ISIC_0057342,train
ISIC_0028562,train
ISIC_0012806_downsampled,train
ISIC_0067210,train
ISIC_0010189,train
ISIC_0031662,train
ISIC_0010252,train
ISIC_0070157,train
ISIC_0070609,train
ISIC_0069746,train
ISIC_0056800,train
ISIC_0060742,train
ISIC_0054046,train
ISIC_0072760,train
ISIC_0031313,train
